_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
| 312 |  400144.65 |   49783.46 |      629.0 |          T |                                |                                |
| 313 |  400185.78 |   49800.06 |      360.0 |          T |                                |                                |
| 314 |  400202.49 |   49791.50 |      181.0 |          T |                                |                                |
| 315 |  400235.06 |   49794.59 |      447.0 |          T |                                |                                |
| 316 |  400252.45 |   49781.88 |      836.0 |          T |                                |                                |
| 317 |  400326.84 |   49784.46 |      700.0 |          T |                                |                                |
| 318 |  399972.14 |   49766.04 |     1151.0 |          T |                                |                                |
| 319 |  400053.93 |   49762.63 |      203.0 |          T |                                |                                |
| 320 |  400069.56 |   49778.05 |      288.0 |          T |                                |                                |
| 321 |  400071.03 |   49761.68 |      321.0 |          T |                                |                                |
| 322 |  400078.28 |   49775.33 |      126.0 |          T |                                |                                |
| 323 |  400149.89 |   49767.61 |      832.0 |          T |                                |                                |
| 324 |  400187.53 |   49775.53 |      182.0 |          T |                                |                                |
| 325 |  400208.75 |   49768.09 |      926.0 |          T |                                |                                |
| 326 |  400268.35 |   49764.63 |      800.0 |          T |                                |                                |
| 327 |  400351.29 |   49771.02 |      924.0 |          T |                                |                                |
| 328 |  400036.66 |   49744.24 |      609.0 |          T |                                |                                |
| 329 |  400079.10 |   49750.90 |      820.0 |          T |                                |                                |
| 330 |  400158.20 |   49749.96 |      860.0 |          T |                                |                                |
| 331 |  400212.09 |   49739.62 |      270.0 |          T |                                |                                |
| 332 |  400228.53 |   49756.64 |      668.0 |          T |                                |                                |
| 333 |  400242.60 |   49740.89 |      422.0 |          T |                                |                                |
| 334 |  400283.81 |   49745.96 |      903.0 |          T |                                |                                |
| 335 |  400367.79 |   49745.71 |     5734.0 |          T |                                |                                |
| 337 |  399897.35 |   49721.26 |      670.0 |          T |                                |                                |
| 338 |  399993.57 |   49743.18 |     1733.0 |          T |                                |                                |
| 339 |  400048.02 |   49723.18 |      246.0 |          T |                                |                                |
